iter	Passed	Remaining
842	2165	403
843	2168	400
844	2171	398
845	2173	395
846	2176	393
847	2178	390
848	2181	387
849	2184	385
850	2187	382
851	2189	380
852	2192	377
853	2195	375
854	2197	372
855	2200	370
856	2202	367
857	2205	365
858	2208	362
859	2210	359
860	2212	357
861	2215	354
862	2218	352
863	2220	349
864	2223	346
865	2225	344
866	2228	341
867	2230	339
868	2233	336
869	2235	334
870	2238	331
871	2241	328
872	2243	326
873	2246	323
874	2248	321
875	2251	318
876	2253	316
877	2256	313
878	2259	310
879	2261	308
880	2263	305
881	2266	303
882	2268	300
883	2271	298
884	2274	295
885	2276	292
886	2279	290
887	2282	287
888	2284	285
889	2287	282
890	2289	280
891	2292	277
892	2294	274
893	2297	272
894	2299	269
895	2302	267
896	2304	264
897	2307	262
898	2309	259
899	2312	256
900	2314	254
901	2317	251
902	2319	249
903	2322	246
904	2324	244
905	2327	241
906	2330	238
907	2332	236
908	2335	233
909	2337	231
910	2340	228
911	2342	226
912	2345	223
913	2347	220
914	2350	218
915	2353	215
916	2355	213
917	2358	210
918	2360	208
919	2363	205
920	2365	202
921	2368	200
922	2371	197
923	2373	195
924	2375	192
925	2378	190
926	2381	187
927	2383	184
928	2386	182
929	2389	179
930	2392	177
931	2394	174
932	2397	172
933	2400	169
934	2402	167
935	2405	164
936	2408	161
937	2410	159
938	2413	156
939	2415	154
940	2418	151
941	2420	149
942	2423	146
943	2426	143
944	2428	141
945	2431	138
946	2433	136
947	2435	133
948	2438	131
949	2440	128
950	2443	125
951	2446	123
952	2448	120
953	2451	118
954	2454	115
955	2456	113
956	2459	110
957	2462	107
958	2465	105
959	2468	102
960	2470	100
961	2473	97
962	2476	95
963	2478	92
964	2481	89
965	2483	87
966	2486	84
967	2489	82
968	2492	79
969	2494	77
970	2497	74
971	2499	72
972	2502	69
973	2504	66
974	2507	64
975	2509	61
976	2512	59
977	2514	56
978	2517	54
979	2520	51
980	2522	48
981	2525	46
982	2527	43
983	2530	41
984	2532	38
985	2535	36
986	2537	33
987	2540	30
988	2543	28
989	2545	25
990	2548	23
991	2550	20
992	2553	18
993	2556	15
994	2558	12
995	2561	10
996	2563	7
997	2566	5
998	2568	2
999	2571	0
